First Name,Last Name,Position,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
Nikola,Vucevic,C,82,82,33.5,17.6,1.9,9.1,11.0,3.2,0.7,0.7,1.7,2.2,1.9
Patrick,Williams,PF,82,65,28.3,10.2,1.0,3.0,4.0,1.2,0.9,0.9,1.2,1.8,1.0
Coby,White,PG,74,2,23.4,9.7,0.2,2.6,2.9,2.8,0.7,0.1,1.0,1.6,2.8
Ayo,Dosunmu,SG,80,51,26.2,8.6,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,2.1
Goran,Dragic,PG,51,0,15.4,6.4,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,2.5
Andre,Drummond,C,67,0,12.7,6.0,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,0.4
Patrick,Beverley,PG,22,22,27.5,5.8,0.9,4.0,4.9,3.5,1.0,0.7,0.8,2.9,4.2
Alex,Caruso,SG,67,36,23.5,5.6,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,2.5
Javonte,Green,SF,32,1,15.0,5.2,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,1.2
Derrick,Jones Jr.,SF,64,0,14.0,5.0,0.9,1.5,2.4,0.5,0.5,0.6,0.4,1.3,1.4
Terry,Taylor,F,5,0,7.2,4.0,1.0,0.6,1.6,0.0,0.0,0.2,0.0,0.4,0.0
Carlik,Jones,G,7,0,8.0,2.9,0.1,0.6,0.7,0.9,0.3,0.0,0.3,0.3,3.0
Dalen,Terry,F,38,0,5.6,2.2,0.3,0.7,1.0,0.6,0.3,0.1,0.2,0.6,2.8
Tony,Bradley,C,12,0,2.8,1.6,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.0
Malcolm,Hill,F,5,0,1.8,1.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,0.0
Marko,Simonovic,C,7,0,2.9,0.9,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,0.0
Donovan,Mitchell,SG,5,5,41.4,23.2,0.6,4.4,5.0,7.2,2.0,0.6,3.8,2.8,1.9
Darius,Garland,PG,5,5,37.8,20.6,0.0,1.8,1.8,5.0,1.6,0.2,3.6,3.4,1.4
Caris,LeVert,SG,5,3,34.0,15.0,0.8,3.8,4.6,2.6,0.4,0.2,1.0,2.0,2.6
Evan,Mobley,PF,5,5,37.6,9.8,3.0,7.0,10.0,2.0,0.6,1.2,2.4,2.6,0.8
Jarrett,Allen,C,5,5,38.2,9.4,3.0,4.4,7.4,2.4,0.8,1.0,0.6,2.0,4.0
Isaac,Okoro,SF,5,2,15.0,6.4,0.6,0.8,1.4,0.8,0.4,0.4,0.8,2.0,1.0
Cedi,Osman,SF,5,0,18.6,6.0,0.2,2.8,3.0,1.0,0.4,0.2,1.0,2.4,1.0
Robin,Lopez,C,2,0,3.0,4.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0
Lamar,Stevens,F,2,0,4.5,2.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Dean,Wade,PF,2,0,5.5,1.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Danny,Green,F,4,0,10.0,0.8,0.5,1.3,1.8,0.3,0.5,0.3,0.5,1.8,0.5
Raul,Neto,PG,2,0,3.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5
Ricky,Rubio,PG,3,0,5.7,0.0,0.7,1.3,2.0,1.0,0.3,0.0,1.7,1.7,0.6
Bojan,Bogdanovic,SF,59,59,32.1,21.6,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,1.1
Cade,Cunningham,PG,12,12,33.3,19.9,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,1.8
Jaden,Ivey,PG,74,73,31.1,16.3,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,1.6
Saddiq,Bey,SF,52,30,28.8,14.8,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,1.6
Alec,Burks,SG,51,8,22.0,12.8,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,2.0
James,Wiseman,C,24,22,25.2,12.7,2.3,5.8,8.1,0.7,0.2,0.8,1.5,2.9,0.4
Marvin,Bagley III,PF,42,25,23.6,12.0,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,0.8
Isaiah,Stewart,C,50,47,28.3,11.3,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,1.0
Killian,Hayes,PG,76,56,28.3,10.3,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,2.7
Eugene,Omoruyi,F,17,4,21.9,9.7,1.2,2.2,3.5,1.0,0.8,0.2,1.1,2.6,0.9
Hamidou,Diallo,SG,56,0,17.8,9.3,1.0,2.4,3.5,1.0,0.9,0.3,1.3,2.2,0.8
Jalen,Duren,C,67,31,24.9,9.1,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,0.8
R.J.,Hampton,PG,21,3,18.5,7.3,0.4,1.9,2.3,1.0,0.5,0.2,1.0,1.4,1.0
Cory,Joseph,PG,62,2,19.8,6.9,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4,3.9
Isaiah,Livers,PF,52,22,23.1,6.7,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2.0,1.4
Rodney,McGruder,G,32,12,16.4,5.7,0.6,1.7,2.3,0.9,0.5,0.0,0.3,1.2,2.5
Kevin,Knox II,SF,42,1,14.1,5.6,0.5,2.1,2.6,0.4,0.3,0.3,0.8,1.8,0.5
Jared,Rhoden,G,14,0,14.1,3.2,0.8,1.9,2.6,0.3,0.3,0.1,0.2,1.6,1.3
Nerlens,Noel,C,14,3,10.9,2.3,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,0.9
Stanley,Umude,G,1,0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Buddy,Boeheim,F,10,0,9.0,1.6,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,INF
Braxton,Key,F,3,0,3.0,1.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese,Haliburton,PG,56,56,33.6,20.7,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,4.1
Myles,Turner,C,62,62,29.4,18.0,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,0.9
Buddy,Hield,SG,80,73,31.0,16.8,0.8,4.2,5.0,2.8,1.2,0.3,1.7,2.0,1.6
Bennedict,Mathurin,SG,78,17,28.5,16.7,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,0.8
Jordan,Nwora,SF,24,11,24.6,13.0,0.9,3.8,4.7,2.1,0.5,0.3,1.3,1.7,1.6
Aaron,Nesmith,SF,73,60,24.9,10.1,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,1.3
Andrew,Nembhard,PG,75,63,27.7,9.5,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,2.7
Jalen,Smith,PF,68,31,18.8,9.4,1.9,3.9,5.8,1.0,0.3,0.9,1.1,2.3,0.9
T.J.,McConnell,PG,75,6,20.3,8.7,0.6,2.5,3.1,5.3,1.1,0.1,1.9,1.4,2.8
Gabe,York,G,3,0,18.7,8.0,0.0,2.0,2.0,1.7,0.7,0.0,0.0,1.7,INF
Chris,Duarte,SG,46,12,19.5,7.9,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,1.6
Isaiah,Jackson,SF,63,12,16.5,7.2,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,1.0
Daniel,Theis,C,7,1,15.6,7.0,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,3.0
Oshae,Brissett,SF,65,2,16.7,6.1,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,1.3
George,Hill,PG,11,1,15.1,5.2,0.2,1.5,1.6,1.9,0.6,0.3,0.6,1.3,3.0
Goga,Bitadze,C,21,0,9.6,3.3,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,1.5
Trevelin,Queen,SG,7,0,10.0,3.0,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,0.9
James,Johnson,PF,18,1,9.0,2.8,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8,1.9
Terry,Taylor,F,26,2,8.8,2.7,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,1.1
Kendall,Brown,SG,6,0,6.7,1.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
Khris,Middleton,SF,5,5,34.6,23.8,1.4,5.0,6.4,6.2,0.6,0.0,3.4,3.0,1.8
Giannis,Antetokounmpo,PF,3,3,30.3,23.3,2.7,8.3,11.0,5.3,0.3,0.7,4.7,3.0,1.1
Brook,Lopez,C,5,5,36.4,19.0,2.8,3.6,6.4,1.2,1.4,1.8,2.2,2.0,0.5
Jrue,Holiday,PG,5,5,38.2,17.8,0.8,5.8,6.6,8.0,1.0,0.4,2.4,2.4,3.3
Pat,Connaughton,SG,4,0,22.0,12.0,1.0,4.0,5.0,1.8,1.0,0.3,0.5,2.5,3.5
Grayson,Allen,SG,5,5,29.8,11.6,0.2,2.2,2.4,1.8,0.4,0.0,0.8,1.4,2.3
Bobby,Portis,F,5,2,21.4,9.6,2.0,6.2,8.2,1.2,0.6,0.4,0.8,3.0,1.5
Joe,Ingles,SG,5,0,17.8,6.8,0.2,1.0,1.2,2.0,0.6,0.2,1.2,1.4,1.7
